fecha,nombre,email,contact_id,template,lang,subject,resultado,error
2026-03-25T23:31:19.263138,Liberte Construction,admin@liberteconstruction.com,YZ5PtRZ7Lo2p3ohETVIr,ai_receptionist,en,Liberte Construction + 216 reviews = missed call opportunity,DRY_RUN,
2026-03-25T23:31:22.361877,Sela Roofing & Remodeling,info@selaroofing.com,8uentsgLrmfB5gM8bqVv,ai_receptionist,en,Sela Roofing: Turn 647 reviews into 24/7 leads,DRY_RUN,
2026-03-25T23:31:25.239088,R & R Roofing Inc.,rrroofing77@gmail.com,tlUBHbqdn6G98I8tAEKj,ai_receptionist,en,R & R Roofing: 298 reviews but missing after-hours calls,DRY_RUN,
2026-03-26T00:41:09.105238,Liberte Construction,admin@liberteconstruction.com,YZ5PtRZ7Lo2p3ohETVIr,ai_receptionist,en,Liberte Construction: 216 reviews + capturing missed calls,OK,
2026-03-26T00:43:28.362885,Liberte Construction,admin@liberteconstruction.com,YZ5PtRZ7Lo2p3ohETVIr,ai_receptionist,en,Liberte Construction + 216 reviews = missed calls opportunity,OK,
2026-03-26T00:43:33.006889,Sela Roofing & Remodeling,info@selaroofing.com,8uentsgLrmfB5gM8bqVv,ai_receptionist,en,Sela Roofing: 647 reviews but missing after-hours calls,OK,
2026-03-26T00:43:37.848953,R & R Roofing Inc.,rrroofing77@gmail.com,tlUBHbqdn6G98I8tAEKj,ai_receptionist,en,R & R Roofing + 298 Google reviews = missed calls,OK,
2026-03-26T00:43:42.193959,Kaufman Roofing,info@kaufmanroofing.com,nDHVrSn0iAd2D8f4HKL9,ai_receptionist,en,Kaufman Roofing + 421 reviews = untapped calls,OK,
2026-03-26T00:43:47.013065,Bayport Roofing and Siding,info@bayportroofing.com,1H3Aa93F1DdAcHYdJv7z,ai_receptionist,en,"Bayport Roofing — 279 reviews, still missing calls after hours",OK,
2026-03-26T00:43:51.708144,eRoof,quote@eroofquote.com,HfOODvLpoCf9LaZihLRs,ai_receptionist,en,eRoof + 263 Google reviews = missed calls opportunity,OK,
2026-03-26T00:43:56.347793,All Ears Roofing - Minnesota,info@allearsroofing.com,M5GKtqml9kC1ZuRUvg55,ai_receptionist,en,All Ears Roofing + 101 reviews = missed calls,OK,
